F	time	C
94	July 20, 2017 +	34
96	August 13, 2016 +	36
97	September 08, 2015	36
92	September 02, 2014	33
98	July 18, 2013	37
100	July 18, 2012	38
104	July 22, 2011	40
103	July 06, 2010	39
92	August 17, 2009 +	33
96	July 19, 2008 +	36
92	August 02, 2007 +	33
97	August 02, 2006	36
99	August 13, 2005	37
91	June 09, 2004	33
94	July 05, 2003	34
98	August 13, 2002	37
103	August 09, 2001	39
93	May 07, 2000	34
101	July 06, 1999 +	38
93	July 22, 1998	34
97	July 15, 1997	36
96	May 20, 1996	36
102	July 15, 1995	39
98	June 19, 1994	37
102	July 10, 1993	39
93	July 14, 1992 +	34
102	July 21, 1991	39
95	July 05, 1990	35
96	July 26, 1989	36
99	August 14, 1988 +	37
97	May 30, 1987	36
