YEAR JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANNUAL
1989 2.29 3.03 4.93 4.26 10.24 8.79 5.13 8.44 6.90 7.48 2.79 0.83 65.11
1990 5.34 2.33 3.64 5.12 9.10 2.50 3.51 12.36 2.24 6.38 2.82 5.58 60.92
1991 3.38 1.93 5.16 3.68 3.11 4.16 4.57 7.13 3.71 2.13 1.96 4.26 45.18
1992 1.68 1.87 4.08 1.76 4.02 4.77 4.49 3.49 4.89 1.16 5.64 5.50 43.35
1993 3.44 2.81 6.64 4.28 1.56 1.49 1.70 5.41 5.25 4.55 2.20 4.95 44.28
1994 5.62 3.44 6.33 2.42 4.26 3.21 3.86 6.33 3.33 1.35 4.34 2.90 47.39
1995 3.75 3.13 1.26 2.29 2.84 2.09 6.13 0.18 3.03 7.82 5.78 2.12 40.42
1996 5.64 2.59 3.81 6.33 2.64 5.76 5.70 1.87 4.97 7.53 2.87 6.48 56.19
1997 3.65 2.54 5.18 2.86 3.05 1.93 8.36 3.21 2.10 2.10 4.68 4.27 43.93
1998 5.20 5.81 5.08 7.05 6.94 5.94 1.09 2.78 3.44 2.76 1.48 1.12 48.69
1999 6.99 3.49 4.01 1.93 4.04 0.59 0.44 3.94 8.81 2.73 2.33 3.20 42.50
2000 3.24 1.66 3.31 3.53 4.50 4.86 7.28 3.82 5.82 0.68 3.53 3.19 45.42
2001 3.16 1.95 7.72 1.58 2.02 5.29 2.04 2.56 5.31 0.66 1.36 2.27 35.92
2002 1.93 0.71 3.53 3.41 3.69 4.50 1.05 4.91 5.16 7.20 5.06 4.06 45.21
2003 2.30 4.56 4.57 3.20 3.43 10.26 3.76 5.85 6.03 4.90 4.27 5.42 58.56
2004 2.13 2.68 2.99 4.11 5.77 3.02 7.64 3.03 11.51 1.18 4.21 3.71 51.97
2005 4.67 3.04 4.96 4.81 1.48 3.21 3.56 3.96 0.48 16.73 4.47 4.60 55.97
2006 4.99 2.88 0.80 5.56 4.62 8.55 6.16 6.08 3.69 7.07 7.34 2.15 59.89
2007 3.63 1.99 5.35 13.05 1.88 6.55 6.89 7.18 1.81 4.65 3.47 5.22 61.67
2008 2.85 5.95 4.08 2.77 4.01 4.70 2.84 5.58 7.05 3.62 3.54 6.62 53.61
2009 2.98 0.93 1.75 4.69 5.17 10.05 7.11 4.22 2.26 5.58 1.61 7.27 53.62
2010 2.08 6.69 10.69 2.99 3.01 2.20 2.60 4.14 3.67 4.91 2.15 4.24 49.37
2011 4.93 3.47 6.19 5.35 5.11 3.25 3.03 18.95 9.39 6.09 3.05 4.00 72.81
2012 3.23 1.37 0.96 3.56 5.38 2.97 4.21 2.91 4.39 2.92 1.81 4.80 38.51
2013 2.76 4.25 2.90 1.31 8.00 10.10 2.84 2.85 2.95 0.36 3.15 4.85 46.32
2014 2.79 5.48 3.67 7.85 4.37 4.26 5.59 2.25 1.21 5.77 4.51 6.04 53.79
2015 5.23 2.04 4.72 2.08 1.86 4.79 3.98 2.35 3.28 3.91 2.01 4.72 40.97
2016 4.41 4.40 1.17 1.61 3.75 2.60 7.02 1.97 2.79 4.15 5.41 2.89 42.17
2017 4.83 2.48 5.25 3.84 6.38 4.76 4.19 3.34 2.00 4.18 1.58 2.21 45.04
