SEASON JUL AUG SEP OC0 NOV DEC JAN FEB MAR APR MAY JUN TOTAL
1988-89 0 0 0 0 0 0.3 5.0 0.3 2.5 0 0 0 8.1
1989-90 0 0 0 0 4.7 1.4 1.8 1.8 3.1 0.6 0 0 13.4
1990-91 0 0 0 0 0 7.2 8.4 9.1 0.2 0 0 0 24.9
1991-92 0 0 0 0 0 0.7 1.5 1.0 9.4 0 0 0 12.6
1992-93 0 0 0 0 0 0.4 1.5 10.7 11.9 0 0 0 24.5
1993-94 0 0 0 0 0 6.9 12.0 26.4 8.1 0 0 0 53.4
1994-95 0 0 0 0 0 0 0.2 11.6 0 0 0 0 11.8
1995-96 0 0 0 0 2.9 11.5 26.1 21.2 13.2 0.7 0 0 75.6
1996-97 0 0 0 0 0.1 0 4.4 3.8 1.7 0 0 0 10.0
1997-98 0 0 0 0 0 0 0.5 0.0 5.0 0 0 0 5.5
1998-99 0 0 0 0 0 2.0 4.5 1.7 4.5 0 0 0 12.7
1999-00 0 0 0 0 0 0 9.5 5.2 0.4 1.2 0 0 16.3
2000-01 0 0 0 0 0 13.4 8.3 9.5 3.8 0 0 0 35.0
2001-02 0 0 0 0 0 0 3.5 0 0 0 0 0 3.5
2002-03 0 0 0 0 0 11.0 4.7 26.1 3.5 4.0 0 0 49.3
2003-04 0 0 0 0 0 19.8 17.3 0.7 4.8 0 0 0 42.6
2004-05 0 0 0 0 0 3.0 15.3 15.8 6.9 0 0 0 41.0
2005-06 0 0 0 0 0 9.7 2.0 26.9 1.3 0.1 0 0 40.0
2006-07 0 0 0 0 0 0 2.6 3.8 6.0 0 0 0 12.4
2007-08 0 0 0 0 0 2.9 0 9.0 0 0 0 0 11.9
2008-09 0 0 0 0 0 6.0 9.0 4.3 8.3 0 0 0 27.6
2009-10 0 0 0 0 0 12.4 2.1 36.9 0 0 0 0 51.4
2010-11 0 0 0 0 0 20.1 36.0 4.8 1.0 0 0 0 61.9
2011-12 0 0 0 2.9 0 0 4.3 0.2 0 0 0 0 7.4
2012-13 0 0 0 0 4.7 0.4 1.5 12.2 7.3 0 0 0 26.1
2013-14 0 0 0 0 0 8.6 19.7 29.0 0.1 0 0 0 57.4
2014-15 0 0 0 0 0.2 1.0 16.9 13.6 18.6 0 0 0 50.3
2015-16 0 0 0 0 0 0 27.9 4.0 0.9 0 0 0 32.8
2016-17 0 0 0 0 0 3.2 7.9 9.4 9.7 0 0 0 30.2
2017-18 0 0 0 0 0 7.7 0 0 0 0 0 11.2 18.9
